name,id,orig_url
Eric周興哲《怎麼了 What's Wrong》Official Music Video - 華劇【你有念大學嗎？】片尾曲,Y2ge3KrdeWs,https://youtu.be/Y2ge3KrdeWs?feature=shared
Eric周興哲《你，好不好？ How Have You Been?》Official Music Video《遺憾拼圖》片尾曲,wSBXfzgqHtE,https://youtu.be/wSBXfzgqHtE?feature=shared
陶喆 | 寂寞的季節 (HQ),bNtZPJBIOeY,https://youtu.be/bNtZPJBIOeY?feature=shared
Eric周兴哲 - 挚友『我们不讨论的关系 很接近却不是爱情，拥有无数交集 要丢弃太可惜。』【動態歌詞】♪,Mps2ns2rRuE,https://youtu.be/Mps2ns2rRuE?feature=shared
周杰倫 Jay Chou【聽見下雨的聲音 Rhythm of the Rain】Official MV,zqKoXPHhmsM,https://youtu.be/zqKoXPHhmsM?feature=shared
蔡健雅-『達爾文』官方版MV (Official Music Video),Z97zUBtHZGY,https://youtu.be/Z97zUBtHZGY?feature=shared
周杰倫 Jay Chou【陽光宅男 Sunshine Nerd】-Official Music Video,qQ7g1tfEGFc,https://youtu.be/qQ7g1tfEGFc?feature=shared
Eric周興哲《以後別做朋友 The Distance of Love》Official Music Video,Ew4VvF0DPMc,https://youtu.be/Ew4VvF0DPMc?feature=shared
林俊杰 韩红《飞云之下》- 合唱纯享《我想和你唱3》Come Sing With Me S3 EP12【歌手官方音乐频道】,tTm_PCqET3E,https://youtu.be/tTm_PCqET3E?feature=shared
蔡健雅 - Letting Go『I'm letting go 我终于舍得为你放开手，因为爱你爱到我心痛。』【動態歌詞】♪,In0cTkWF9WA,https://youtu.be/In0cTkWF9WA?feature=shared
張遠 - 嘉賓【高音質|動態歌詞Lyrics】♫『感謝你特別邀請，來見證你的愛情。』Zhang Yuan-Khách,jPzkNvWOcGc,https://youtu.be/jPzkNvWOcGc?feature=shared
李玖哲 Nicky Lee-夏天 Summer-完整版MV,tLGgJLDk5kM,https://youtu.be/tLGgJLDk5kM?feature=shared
毛不易-盛夏 歌詞 【cherry 橋】,tPjTRSfH_qk,https://www.youtube.com/watch?v=tPjTRSfH_qk&pp=ygUG55ub5aSP
